,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
29,21,5019,virginia,0,860.651395ms,2018-08-24 23:41:18.205761+00:00,virginia,server,78,3,alia-virginia-78,189,2018-08-24 23:41:17.345110+00:00,5831.629425291294,0.3.6
30,40,5040,virginia,0,894.362663ms,2018-08-24 21:01:36.206230+00:00,virginia,server,78,5,alia-virginia-78,166,2018-08-24 21:01:35.311867+00:00,5635.297859029699,0.3.6
31,26,5018,virginia,0,858.872635ms,2018-08-24 17:58:31.436049+00:00,virginia,server,78,3,alia-virginia-78,47,2018-08-24 17:58:30.577170+00:00,5842.542648945848,0.3.6
32,8,4000,virginia,0,1.046812738s,2018-08-25 00:15:24.473045+00:00,virginia,server,78,5,alia-virginia-78,218,2018-08-25 00:15:23.426232+00:00,3821.122780414619,0.3.6
33,5,2500,virginia,0,966.498081ms,2018-08-24 20:19:23.558614+00:00,virginia,server,78,5,alia-virginia-78,131,2018-08-24 20:19:22.592116+00:00,2586.6580070322975,0.3.6
34,30,5010,virginia,0,731.99317ms,2018-08-24 18:03:19.745395+00:00,virginia,server,78,3,alia-virginia-78,51,2018-08-24 18:03:19.013402+00:00,6844.326156759086,0.3.6
35,1,500,virginia,0,675.27065ms,2018-08-24 20:14:34.073400+00:00,virginia,server,78,5,alia-virginia-78,127,2018-08-24 20:14:33.398154+00:00,740.4438501806646,0.3.6
36,2,1000,virginia,0,678.540847ms,2018-08-24 23:18:59.357366+00:00,virginia,server,78,3,alia-virginia-78,170,2018-08-24 23:18:58.678825+00:00,1473.7506288991326,0.3.6
37,8,4000,virginia,0,881.096063ms,2018-08-24 19:32:21.900393+00:00,virginia,server,78,3,alia-virginia-78,92,2018-08-24 19:32:21.019297+00:00,4539.8001057689435,0.3.6
38,12,5004,virginia,0,1.22884224s,2018-08-25 00:20:06.602452+00:00,virginia,server,78,5,alia-virginia-78,222,2018-08-25 00:20:05.373610+00:00,4072.125645680929,0.3.6
39,1,500,virginia,0,702.540507ms,2018-08-24 16:53:05.072359+00:00,virginia,server,78,3,alia-virginia-78,1,2018-08-24 16:53:04.369818+00:00,711.7027346011807,0.3.6
40,42,5040,virginia,0,1.432025996s,2018-08-24 18:43:04.044700+00:00,virginia,server,78,5,alia-virginia-78,84,2018-08-24 18:43:02.612674+00:00,3519.4891811167927,0.3.6
41,24,5016,virginia,0,1.16340449s,2018-08-25 00:34:14.202618+00:00,virginia,server,78,5,alia-virginia-78,234,2018-08-25 00:34:13.039214+00:00,4311.484133948976,0.3.6
