,clients,commits,deploy,drops,duration,finished,location,metric,pid,quorum,replica,runid,started,throughput,version
86,24,5016,virginia,0,732.18092ms,2018-08-27 18:59:47.673784+00:00,virginia,server,78,5,alia-virginia-78,150,2018-08-27 18:59:46.941600+00:00,6850.765791602436,0.4
87,2,1000,virginia,0,648.653336ms,2018-08-28 18:49:20.828907+00:00,virginia,server,78,5,alia-virginia-78,296,2018-08-28 18:49:20.180254+00:00,1541.6555261499495,0.4
88,26,5018,virginia,0,534.165919ms,2018-08-27 16:26:59.980691+00:00,virginia,server,78,3,alia-virginia-78,26,2018-08-27 16:26:59.446525+00:00,9394.08491165832,0.4
89,27,5022,virginia,0,622.746979ms,2018-08-28 18:31:06.789172+00:00,virginia,server,78,3,alia-virginia-78,279,2018-08-28 18:31:06.166425+00:00,8064.270352726994,0.4
90,20,5020,virginia,0,704.967774ms,2018-08-27 18:54:59.495344+00:00,virginia,server,78,5,alia-virginia-78,146,2018-08-27 18:54:58.790376+00:00,7120.892876445158,0.4
91,28,5012,virginia,0,661.140272ms,2018-08-28 18:32:11.301603+00:00,virginia,server,78,3,alia-virginia-78,280,2018-08-28 18:32:10.640463+00:00,7580.842087925329,0.4
92,30,5010,virginia,0,492.703985ms,2018-08-27 16:31:49.147389+00:00,virginia,server,78,3,alia-virginia-78,30,2018-08-27 16:31:48.654685+00:00,10168.37726611852,0.4
93,27,5022,virginia,0,523.801096ms,2018-08-27 18:12:41.583691+00:00,virginia,server,78,3,alia-virginia-78,111,2018-08-27 18:12:41.059889+00:00,9587.60880485061,0.4
94,26,5018,virginia,0,817.522446ms,2018-08-28 21:01:15.110539+00:00,virginia,server,78,5,alia-virginia-78,404,2018-08-28 21:01:14.293016+00:00,6138.057767774122,0.4
95,4,2000,virginia,0,621.091684ms,2018-08-27 17:44:57.983490+00:00,virginia,server,78,3,alia-virginia-78,88,2018-08-27 17:44:57.362399+00:00,3220.1364975931638,0.4
96,25,5025,virginia,0,660.978418ms,2018-08-27 17:16:29.398819+00:00,virginia,server,78,5,alia-virginia-78,67,2018-08-27 17:16:28.737841+00:00,7602.366224308401,0.4
97,27,5012,virginia,0,902.741932ms,2018-08-28 17:08:25.028092+00:00,virginia,server,78,5,alia-virginia-78,238,2018-08-28 17:08:24.125350+00:00,5551.974293357628,0.4
98,14,5012,virginia,0,897.336528ms,2018-08-28 20:48:25.750110+00:00,virginia,server,78,5,alia-virginia-78,392,2018-08-28 20:48:24.852780+00:00,5585.418450724208,0.4
99,40,5040,virginia,0,613.579011ms,2018-08-28 20:31:18.639443+00:00,virginia,server,78,3,alia-virginia-78,376,2018-08-28 20:31:18.025864+00:00,8214.101052423386,0.4
100,41,5002,virginia,0,689.326674ms,2018-08-27 17:35:48.403039+00:00,virginia,server,78,5,alia-virginia-78,83,2018-08-27 17:35:47.713712+00:00,7256.3563672570135,0.4
101,21,5019,virginia,0,803.617252ms,2018-08-28 20:55:54.761402+00:00,virginia,server,78,5,alia-virginia-78,399,2018-08-28 20:55:53.957785+00:00,6245.510518233623,0.4
102,23,5014,virginia,0,925.148894ms,2018-08-28 17:03:04.683386+00:00,virginia,server,78,5,alia-virginia-78,233,2018-08-28 17:03:03.758237+00:00,5419.668155599611,0.4
103,27,5022,virginia,0,913.611404ms,2018-08-28 19:16:07.489530+00:00,virginia,server,78,5,alia-virginia-78,321,2018-08-28 19:16:06.575919+00:00,5496.866586836081,0.4
104,12,5004,virginia,0,1.10216925s,2018-08-28 18:15:02.671250+00:00,virginia,server,78,3,alia-virginia-78,264,2018-08-28 18:15:01.569085+00:00,4540.137551469523,0.4
105,6,3000,virginia,0,675.393908ms,2018-08-27 16:02:54.712332+00:00,virginia,server,78,3,alia-virginia-78,6,2018-08-27 16:02:54.036938+00:00,4441.852324199524,0.4
106,1,500,virginia,0,592.112924ms,2018-08-28 19:49:32.774704+00:00,virginia,server,78,3,alia-virginia-78,337,2018-08-28 19:49:32.182591+00:00,844.4335189008642,0.4
